inner_X,inner_Y,inner_Z,outer_X,outer_Y,outer_Z,inner_curb_X,inner_curb_Y,inner_curb_Z,outer_curb_X,outer_curb_Y,outer_curb_Z
-52.136768501733954,128.55889709892088,0.0,-42.012231408736845,135.00046124534725,0.0,-53.824191465222306,127.48530325472645,0.0,-40.32480855990399,136.07405526975165,0.0
-52.52034018929145,129.16177655582962,0.0,-42.39507670119757,135.6021988476264,0.0,-54.20788421644519,128.0883730173513,0.0,-40.70753278651525,136.67560256292586,0.0
-52.903632455179235,129.76436686857454,0.0,-42.77764978526836,136.2036583644353,0.0,-54.59129634379961,128.69115179271753,0.0,-41.08998600694988,137.27687361374544,0.0
-53.28664719025252,130.36666938158808,0.0,-43.159952566008215,136.80484117079203,0.0,-54.97442973577368,129.29364092016027,0.0,-41.47217012863416,137.87786980232602,0.0
-53.66938628543717,130.96868543946752,0.0,-43.54198694847615,137.40574864171444,0.0,-55.357286280937906,129.89584173920704,0.0,-41.85408705898265,138.47859250875558,0.0
-54.051851631729804,131.57041638697626,0.0,-43.92375483773119,138.00638215222043,0.0,-55.73986786794547,130.4977555895793,0.0,-42.235738705398084,139.07904311309446,0.0
-54.43404512019656,132.17186356904293,0.0,-44.305258138832336,138.60674307732796,0.0,-56.122176385530544,131.0993838111911,0.0,-42.61712697527163,139.67922299537545,0.0
-54.81596864197515,132.77302833076516,0.0,-44.68649875683863,139.20683279205497,0.0,-56.504213722510876,131.70072774415388,0.0,-42.99825377598255,140.27913353560328,0.0
-55.19762408827472,133.37391201741048,0.0,-45.067478596809075,139.80665267141933,0.0,-56.88598176778748,132.30178872877698,0.0,-43.37912101489813,140.87877611375413,0.0
-55.57901335037515,133.9745159744159,0.0,-45.448199563802675,140.40620409043902,0.0,-57.267482410343895,132.90256810556767,0.0,-43.75973059937393,141.4781521097762,0.0
-55.96013831962959,134.5748415473928,0.0,-45.82866356287848,141.00548842413195,0.0,-57.64871753924927,133.5030672152367,0.0,-44.1400844367533,142.0772629035885,0.0
-56.34100088746234,135.17489008212456,0.0,-46.20887249909546,141.60450704751605,0.0,-58.0296890436556,134.1032873986954,0.0,-44.52018443436765,142.6761098750813,0.0
-56.72160294537103,135.77466292457066,0.0,-46.58882827751265,142.20326133560923,0.0,-58.41039881280054,134.70322999706048,0.0,-44.90003249953625,143.27469440411565,0.0
-57.10194638492638,136.37416142086724,0.0,-46.96853280318909,142.80175266342945,0.0,-58.79084873600696,135.3028963516549,0.0,-45.27963053956621,143.87301787052314,0.0
-57.48203309777297,136.97338691732918,0.0,-47.34798798118376,143.39998240599456,0.0,-59.171040702683854,135.90228780400997,0.0,-45.65898046175223,144.47108165410546,0.0
-57.861864975627654,137.5723407604484,0.0,-47.7271957165557,143.99795193832261,0.0,-59.5509766023247,136.5014056958638,0.0,-46.03808417337704,145.068887134635,0.0
-58.24144391028351,138.1710242969009,0.0,-48.10615791436391,144.5956626354314,0.0,-59.93065832451175,137.100251369169,0.0,-46.41694358171065,145.66643569185317,0.0
-58.62077179360641,138.76943887354227,0.0,-48.48487647966741,145.19311587233895,0.0,-60.31008775891223,137.69882616608785,0.0,-46.795560594010915,146.26372870547172,0.0
-58.999850517538235,139.3675858374135,0.0,-48.863353317525245,145.79031302406315,0.0,-60.68926679528203,138.29713142899885,0.0,-47.17393711752308,146.86076755517144,0.0
-59.378681974095414,139.9654665357395,0.0,-49.24159033299638,146.3872554656219,0.0,-61.0681973234641,138.8951685004953,0.0,-47.552075059479876,147.4575536206023,0.0
-59.75726805537026,140.5630823159322,0.0,-49.61958943113987,146.98394457203318,0.0,-61.44688123338972,139.4929387233882,0.0,-47.92997632710147,148.05408828138334,0.0
-60.13561065353106,141.16043452559123,0.0,-49.99735251701471,147.58038171831487,0.0,-61.82532041507907,140.0904434407081,0.0,-48.307642827595316,148.65037291710215,0.0
-60.51371166082196,141.75752451250486,0.0,-50.37488149567993,148.17656827948494,0.0,-62.20351675864056,140.68768399570516,0.0,-48.685076468156254,149.24640890731496,0.0
-60.891572969564336,142.35435362465262,0.0,-50.75217827219456,148.7725056305613,0.0,-62.58147215427296,141.28466173185305,0.0,-49.062279155966266,149.8421976315461,0.0
-61.26919647215642,142.95092321020593,0.0,-51.12924475161758,149.36819514656185,0.0,-62.95918849226448,141.881377992849,0.0,-49.43925279819444,150.43774046928783,0.0
-61.646584061072815,143.54723461752783,0.0,-51.506082839008016,149.96363820250457,0.0,-63.33666766299257,142.477834122614,0.0,-49.815999301997216,151.0330388000007,0.0
-62.023737628867494,144.14328919517854,0.0,-51.88269443942489,150.5588361734073,0.0,-63.71391155692728,143.0740314652991,0.0,-50.192520574517786,151.62809400311207,0.0
-62.400659068171365,144.73908829191268,0.0,-52.259081457927245,151.15379043428806,0.0,-64.0909220646283,143.6699713652819,0.0,-50.56881852288656,152.2229074580173,0.0
-62.77735027169324,145.3346332566813,0.0,-52.63524579957407,151.7485023601648,0.0,-64.46770107674625,144.26565516716934,0.0,-50.94489505422088,152.8174805440787,0.0
