X,Y,Z
336.73882038278754,81.69780492734483,0.0
336.730137086582,80.49343436647005,0.0
336.72894449336377,79.28088870159463,0.0
336.73496495427594,78.06024796086051,0.0
336.74792071468795,76.83159274169024,0.0
336.7675338425095,75.59500425522643,0.0
336.79352615942673,74.35056436966643,0.0
336.82561917505654,73.0983556524936,0.0
336.8635340240248,71.83846141160714,0.0
336.9069914059665,70.57096573535128,0.0
336.95571152845366,69.29595353144369,0.0
337.0094140528539,68.0135105648041,0.0
337.06781804312385,66.72372349428235,0.0
337.1306419175435,65.42667990828498,0.0
337.1976034033979,64.12246835929996,0.0
337.26841949461243,62.81117839731741,0.0
337.3428064123487,61.49290060214548,0.0
337.42047956857067,60.16772661461833,0.0
337.50115353258786,58.835749166694974,0.0
337.58454200058577,57.49706211044559,0.0
337.6703577681524,56.15176044592296,0.0
337.75831270581176,54.79994034791561,0.0
337.84811773757315,53.441699191579644,0.0
337.93948282250756,52.077135576945686,0.0
338.0321169393638,50.706349352296925,0.0
338.12572807423146,49.32944163641498,0.0
338.220023211266,47.946514839688916,0.0
338.3147083264847,46.55767268408388,0.0
338.40948838464715,45.16302022196448,0.0
338.5040673392291,43.7626638537688,0.0
338.5981481355044,42.35671134452892,0.0
338.69143271674324,40.945271839232475,0.0
338.7836220335417,39.52845587702168,0.0
338.87441605629044,38.106375404224536,0.0
338.9635137907959,36.6791437862137,0.0
339.05061329706393,35.24687581808854,0.0
339.1354117112573,33.80968773417562,0.0
339.2176052708355,32.36769721634294,0.0
339.2968893428895,30.921023401123552,0.0
339.37295845567826,29.46978688564402,0.0
339.44550633337855,28.014109732353152,0.0
339.5142259340532,26.55411547254724,0.0
339.57880949085086,25.08992910868691,0.0
339.6389485564386,23.62167711550221,0.0
339.69433405067974,22.149487439881952,0.0
339.74465631155846,20.67348949954315,0.0
339.7896051493595,19.193814180477933,0.0
339.82886990410594,17.71059383317365,0.0
339.86213950625984,16.223962267604275,0.0
339.8891025406864,14.734054746989184,0.0
339.90944731388646,13.241007980317665,0.0
339.9228619244962,11.744960113636445,0.0
339.92903433705425,10.24605072009844,0.0
339.92765245903564,8.744420788771265,0.0
339.9184042211496,7.240212712203856,0.0
339.9009776608977,5.733570272750738,0.0
339.87506100938896,4.224638627653115,0.0
339.84034278140354,2.713564292876619,0.0
339.7965118687006,1.2004951257062482,0.0
339.7432576365585,-0.3144196939012005,0.0
339.68027002354194,-1.8310296832057507,0.0
339.6072396444782,-3.3491830778124347,0.0
339.52385789663634,-4.868726854036995,0.0
339.42981706909,-6.3895067525065805,0.0
339.32481045524946,-7.911367302992126,0.0
339.20853246854625,-9.434151850469057,0.0
339.08067876124863,-10.95770258240195,0.0
338.94094634638975,-12.481860557248522,0.0
338.78903372278245,-14.006465734177574,0.0
338.6246410030991,-15.53135700399496,0.0
338.4474700449883,-17.056372221271005,0.0
338.2572659051188,-18.581348237662375,0.0
338.05427597128744,-20.106120373105757,0.0
337.8390822268609,-21.630518499240967,0.0
337.61227472325373,-23.154365387750644,0.0
337.3744456340688,-24.67747675254016,0.0
337.1261892705383,-26.19966130659771,0.0
336.86810205604183,-27.7207208270736,0.0
336.6007824598063,-29.240450228537636,0.0
336.3248308899191,-30.758637644363738,0.0
336.0408495458282,-32.27506451618282,0.0
335.7494422305327,-33.789505691334696,0.0
335.451214122719,-35.301729528238695,0.0
335.14677150913667,-36.81149800959177,0.0
334.83672147756596,-38.31856686329024,0.0
334.52167157077713,-39.822685690957755,0.0
334.20222940194276,-41.32359810394965,0.0
333.87900223202865,-42.82104186668711,0.0
333.55259650974733,-44.314749047161456,0.0
333.22361737473557,-45.804446174430936,0.0
332.8926681246839,-47.289854402916745,0.0
332.56034964722465,-48.77068968328718,0.0
332.22725981746464,-50.24666293970044,0.0
331.89399286212836,-51.71748025315817,0.0
331.56113869136885,-53.18284305070224,0.0
331.2292821993833,-54.642448300166905,0.0
330.89900253507216,-56.09598871017861,0.0
330.5708723440648,-57.54315293507353,0.0
330.24545698353876,-58.983625784382596,0.0
329.92331371135487,-60.41708843650959,0.0
329.6049908511324,-61.84321865620777,0.0
329.29102693499334,-63.261691015435204,0.0
328.98194954407535,-64.67217841004249,0.0
328.6782725277666,-66.07436112533784,0.0
328.3804944894553,-67.46793065231063,0.0
328.0890981653443,-68.85258975499826,0.0
327.8045498616134,-70.22805251366282,0.0
327.5272989467792,-71.5940443567699,0.0
327.25777739885046,-72.95030208191595,0.0
326.9963994067638,-74.2965738658718,0.0
326.74356102548177,-75.63261926392909,0.0
326.4996398840347,-76.95820919875484,0.0
326.2649949456913,-78.2731259389772,0.0
326.03996631935775,-79.57716306774063,0.0
325.8248751212162,-80.87012544148476,0.0
325.6200233855396,-82.15182913921507,0.0
325.4256940235425,-83.4221014025461,0.0
