X,Y,Z
336.58234770440566,83.27412749348697,0.0
336.75655685103055,81.9918946368241,0.0
336.9246820222236,80.70536884010679,0.0
337.0867803974645,79.4145770045664,0.0
337.2429084750676,78.1195468320835,0.0
337.39312211188764,76.82030685732605,0.0
337.537476562285,75.51688647908829,0.0
337.6760265163538,74.20931599083433,0.0
337.80882613741915,72.89762661044979,0.0
337.9359290988076,71.58185050920464,0.0
338.05738861989437,70.2620208399301,0.0
338.17325750143067,68.93817176441155,0.0
338.283588160155,67.61033847999946,0.0
338.3884326626902,66.27855724544,0.0
338.48784275873004,64.94286540592626,0.0
338.5818699135139,63.603301417370965,0.0
338.67056533959664,62.25990486990115,0.0
338.75398002790723,60.91271651057506,0.0
338.83216477810595,59.56177826532105,0.0
338.90517022823235,58.20713326009794,0.0
338.9730468836494,56.848825841276515,0.0
339.0358451452821,55.48690159524081,0.0
339.0936153371502,54.121407367208185,0.0
339.14640773319354,52.752391279267016,0.0
339.1942725833919,51.37990274762974,0.0
339.2372601391739,50.00399249910026,0.0
339.27542067811794,48.62471258675301,0.0
339.30880452794037,47.24211640482198,0.0
339.3374620897713,45.85625870279704,0.0
339.36144386071413,44.46719559872559,0.0
339.3808004556883,43.07498459171626,0.0
339.39558262855195,41.67968457364272,0.0
339.40584129250203,40.28135584004424,0.0
339.41162753975067,38.88006010022063,0.0
339.4129926604721,37.475860486518165,0.0
339.40998816102086,36.06882156280397,0.0
339.4026657814155,34.6590093321255,0.0
339.3910775120867,33.24649124355258,0.0
339.37527560988514,31.831336198198304,0.0
339.3553126133474,30.41361455441658,0.0
339.3312413572158,28.993398132172736,0.0
339.30311498620966,27.570760216584528,0.0
339.270986968044,26.14577556063066,0.0
339.2349111056936,24.718520387024036,0.0
339.19494154889725,23.289072389247064,0.0
339.15113280490203,21.85751073174612,0.0
339.1035397484424,20.42391604928332,0.0
339.0522176309505,18.98837044544258,0.0
338.99722208899726,17.550957490288177,0.0
338.9386091519592,16.111762217173723,0.0
338.876435248909,14.6708711186997,0.0
338.8107572147274,13.228372141817776,0.0
338.7416322954335,11.784354682080721,0.0
338.6691181527309,10.338909577036494,0.0
338.5932728677693,8.892129098765725,0.0
338.5141549441155,7.4441069455618,0.0
338.4318233099377,5.994938232753116,0.0
338.34633731939596,4.544719482667409,0.0
338.2577567532403,3.0935486137384665,0.0
338.16614181861564,1.6415249287552856,0.0
338.07155314807096,0.1887491022551533,0.0
337.9740517977729,-1.2646768329387044,0.0
337.8736992449237,-2.7186495000331625,0.0
337.7705573843818,-4.173064193432856,0.0
337.66468852448844,-5.627814894757392,0.0
337.55615538209696,-7.08279428970514,0.0
337.44502107680813,-8.53789378576051,0.0
337.3313491244123,-9.993003530741198,0.0
337.2152034295393,-11.44801243218117,0.0
337.0966482775182,-12.90280817754496,0.0
336.97574832544973,-14.357277255268219,0.0
336.8525685924929,-15.811304976618754,0.0
336.72717439182526,-17.26477615952656,0.0
336.5996308155875,-18.717580786004937,0.0
336.4700024211479,-20.169616869178125,0.0
336.33835315511095,-21.620790483834043,0.0
336.20474628410363,-23.071015769534633,0.0
336.0692443304797,-24.52021492843344,0.0
335.9319090129376,-25.96831821781294,0.0
335.7928011920445,-27.415263937354503,0.0
335.6519808206578,-28.860998411153822,0.0
335.5095068992296,-30.305475964494597,0.0
335.36543743598196,-31.748658895391753,0.0
335.21982941193914,-33.190517440913794,0.0
335.0727387507992,-34.631029738292284,0.0
334.9242202936324,-36.07018178082227,0.0
334.7743277783906,-37.50796736855512,0.0
334.6231138242169,-38.94438805378083,0.0
334.4706299205408,-40.37945308129156,0.0
334.3169264209533,-41.813179323413934,0.0
334.16205254185456,-43.24559120979059,0.0
334.0060563658717,-44.67672065188597,0.0
333.8489848500479,-46.10660696218359,0.0
333.6908838388099,-47.53529676803437,0.0
333.53179808172456,-48.96284392010779,0.0
333.3717741269243,-50.38928388677756,0.0
333.2108733711968,-51.81451942898541,0.0
333.0491760891815,-53.23828936244588,0.0
332.8867818066471,-54.66016966763662,0.0
332.7238095715022,-56.07957471236251,0.0
332.5603981222201,-57.49575858312869,0.0
332.39670595343273,-58.90781652168105,0.0
332.23291127896766,-60.31468646129437,0.0
332.0692118933429,-61.71515065534789,0.0
331.9058249337312,-63.10783738842968,0.0
331.74298654561164,-64.49122275766547,0.0
331.58095145676475,-65.86363250918525,0.0
331.4199924658956,-67.22324391164112,0.0
