X,Y,Z,Speed,RotW,RotX,RotY,RotZ,HarsherRotW,HarsherRotX,HarsherRotY,HarsherRotZ,TireRot
-46.1637029760835,134.7167687850683,0.0,7.147114471079276,0.29044410586357117,0.0,0.0,-0.9568919539451599,0.29211241006851196,0.0,0.0,-0.956384003162384,-0.36096537732723616
-47.395512144809544,136.5442678473614,0.0,7.147114471079276,0.2904179096221924,0.0,0.0,-0.956899881362915,0.2920968532562256,0.0,0.0,-0.9563887715339661,-0.0
-48.62935356873362,138.37737780378617,0.0,7.166349907250819,0.2903690040111542,0.0,0.0,-0.9569146633148193,0.29206687211990356,0.0,0.0,-0.9563978910446167,-0.3619368640025666
-49.865246963379946,140.2160766868026,0.0,7.185527430588187,0.2903004288673401,0.0,0.0,-0.9569354057312012,0.2920236587524414,0.0,0.0,-0.9564110636711121,-0.0009685617847156047
-51.10321253874612,142.06034207776455,0.0,7.204646105277966,0.29021504521369934,0.0,0.0,-0.9569612145423889,0.29196810722351074,0.0,0.0,-0.9564279913902283,-0.3629024536333635
-52.34327100136279,143.9101511060157,0.0,7.223704995506747,0.2901153862476349,0.0,0.0,-0.9569913744926453,0.2919013500213623,0.0,0.0,-0.9564483165740967,-0.0019311319982904251
-53.58544355623835,145.76548044802087,0.0,7.242703165461123,0.2900037467479706,0.0,0.0,-0.9570251703262329,0.29182443022727966,0.0,0.0,-0.9564717411994934,-0.36386195716641273
-54.82975190868717,147.62630632653315,0.0,7.261639679327681,0.28988218307495117,0.0,0.0,-0.9570619463920593,0.2917383313179016,0.0,0.0,-0.9564979076385498,-0.0028875215875105442
-56.07621826603981,149.49260450979682,0.0,7.280513601293017,0.2897525429725647,0.0,0.0,-0.9571011066436768,0.2916436791419983,0.0,0.0,-0.9565266370773315,-0.3648151855485004
-57.32486533923377,151.36435031078767,0.0,7.299323995543715,0.28961655497550964,0.0,0.0,-0.957142174243927,0.2915414273738861,0.0,0.0,-0.9565576910972595,-0.003837541499161934
-58.57571634428295,153.24151858649026,0.0,7.318069926266371,0.289475679397583,0.0,0.0,-0.9571847319602966,0.29143229126930237,0.0,0.0,-0.9565908312797546,-0.3657619497264123
-59.82879500362482,155.12408373721308,0.0,7.336750457647574,0.2893313765525818,0.0,0.0,-0.9572283029556274,0.2913171648979187,0.0,0.0,-0.956625759601593,-0.004781002680030844
-61.084125547342964,157.01201970594178,0.0,7.355364653873911,0.2891848683357239,0.0,0.0,-0.9572725296020508,0.2911967933177948,0.0,0.0,-0.9566622972488403,-0.3667020606469344
-62.34173271426442,158.90529997773118,0.0,7.373911579131977,0.28903728723526,0.0,0.0,-0.957317054271698,0.2910718321800232,0.0,0.0,-0.9567001461982727,-0.005717716076902801
-63.60164175292946,160.8038975791371,0.0,7.392390297608359,0.28888964653015137,0.0,0.0,-0.9573615789413452,0.2909429967403412,0.0,0.0,-0.9567392468452454,-0.36763532925685266
-64.86387842243298,162.70778507768702,0.0,7.41079987348965,0.28874287009239197,0.0,0.0,-0.9574058055877686,0.29081079363822937,0.0,0.0,-0.9567793011665344,-0.006647492636564001
-66.12846899313533,164.61693458139146,0.0,7.429139370962443,0.28859782218933105,0.0,0.0,-0.9574494957923889,0.2906757593154907,0.0,0.0,-0.9568201899528503,-0.3685615665029533
-67.39544024724202,166.53131773829648,0.0,7.4474078542133215,0.2884553074836731,0.0,0.0,-0.9574924111366272,0.2905387580394745,0.0,0.0,-0.956861674785614,-0.007570143305800303
-68.66481947924964,168.45090573607666,0.0,7.465604387428881,0.28831595182418823,0.0,0.0,-0.9575343728065491,0.29040029644966125,0.0,0.0,-0.9569035768508911,-0.36948058333202194
-69.9366344962577,170.37566930166994,0.0,7.483728034795714,0.2881804406642914,0.0,0.0,-0.9575751423835754,0.2902607023715973,0.0,0.0,-0.9569457769393921,-0.008485479031397958
-71.21091361814405,172.3055787009548,0.0,7.501777860500403,0.2880493700504303,0.0,0.0,-0.957614541053772,0.2901207208633423,0.0,0.0,-0.9569880962371826,-0.37039219069084456
-72.48768567760311,174.24060373847027,0.0,7.519752928729545,0.2879232168197632,0.0,0.0,-0.9576524496078491,0.28998062014579773,0.0,0.0,-0.9570304155349731,-0.009393310760142604
-73.76698002004487,176.18071375717864,0.0,7.537652303669729,0.287802517414093,0.0,0.0,-0.9576886892318726,0.28984105587005615,0.0,0.0,-0.9570726156234741,-0.37129619952620735
-75.0488265033536,178.12587763827145,0.0,7.555475049507543,0.2876876890659332,0.0,0.0,-0.9577232003211975,0.2897023856639862,0.0,0.0,-0.9571144580841064,-0.010293449438820101
-76.33325549750487,180.07606380102058,0.0,7.573220230429583,0.28757914900779724,0.0,0.0,-0.9577558040618896,0.28956514596939087,0.0,0.0,-0.9571558833122253,-0.37219242078489617
-77.62029788403946,182.0312402026727,0.0,7.590886910622439,0.2874772250652313,0.0,0.0,-0.9577864408493042,0.28942951560020447,0.0,0.0,-0.9571967720985413,-0.011185706014216867
-78.90998505539255,183.9913743383894,0.0,7.608474154272696,0.2873822748661041,0.0,0.0,-0.9578149914741516,0.28929612040519714,0.0,0.0,-0.9572370052337646,-0.37308066541369705
-80.202348914077,185.95643324123208,0.0,7.625981025566948,0.2872946560382843,0.0,0.0,-0.9578413367271423,0.2891652584075928,0.0,0.0,-0.957276463508606,-0.012069891433118485
-81.49742187171945,187.92638348219344,0.0,7.643406588691782,0.28721457719802856,0.0,0.0,-0.9578654170036316,0.28903722763061523,0.0,0.0,-0.9573150873184204,-0.37396074435939575
-82.79523684794783,189.90119117027433,0.0,7.660749907833796,0.2871423363685608,0.0,0.0,-0.9578871130943298,0.28891247510910034,0.0,0.0,-0.9573526978492737,-0.012945816642311092
-84.0958272691287,191.8808219526084,0.0,7.678010047179572,0.28707820177078247,0.0,0.0,-0.9579063653945923,0.28879135847091675,0.0,0.0,-0.9573891758918762,-0.3748324685687784
-85.3992270669535,193.86524101463274,0.0,7.695186070915706,0.28702235221862793,0.0,0.0,-0.9579231142997742,0.288673996925354,0.0,0.0,-0.9574245810508728,-0.013813292588580495
-86.70547067687238,195.8544130803072,0.0,7.71227704322879,0.28697502613067627,0.0,0.0,-0.9579373002052307,0.28856098651885986,0.0,0.0,-0.9574586749076843,-0.3756956489886311
-88.01459303637363,197.84830241238058,0.0,7.729282028305406,0.2869364023208618,0.0,0.0,-0.9579489231109619,0.2884523272514343,0.0,0.0,-0.957491397857666,-0.014672130218712554
-89.32662958310874,199.84687281270624,0.0,7.746200090332152,0.28690674901008606,0.0,0.0,-0.9579578638076782,0.2883484959602356,0.0,0.0,-0.9575226902961731,-0.37655009656573957
-90.64161625286036,201.85008762260614,0.0,7.763030293495618,0.2868860960006714,0.0,0.0,-0.9579640626907349,0.2882496118545532,0.0,0.0,-0.9575524926185608,-0.015522140479493629
-91.95958947735328,203.85790972328374,0.0,7.779771701982393,0.2868746221065521,0.0,0.0,-0.9579675793647766,0.2881561517715454,0.0,0.0,-0.9575806856155396,-0.37739562224688983
-93.28058618190599,205.87030153628746,0.0,7.796423379979068,0.28687241673469543,0.0,0.0,-0.9579682946205139,0.2880682349205017,0.0,0.0,-0.9576072096824646,-0.016363134317709527
-94.60464378292282,207.8872250240231,0.0,7.81298439167223,0.2868795692920685,0.0,0.0,-0.9579662084579468,0.2879860997200012,0.0,0.0,-0.9576320052146912,-0.37823203697886776
-95.93180018522433,209.90864169031764,0.0,7.829453801248477,0.2868960499763489,0.0,0.0,-0.9579613208770752,0.2879100739955902,0.0,0.0,-0.9576548933982849,-0.01719492268014622
-97.26209377921577,211.93451258103306,0.0,7.845830672894392,0.28692173957824707,0.0,0.0,-0.9579536318778992,0.2878403663635254,0.0,0.0,-0.9576759338378906,-0.3790591517084594
-98.59556343789154,213.96479828473224,0.0,7.862114070796569,0.2869565486907959,0.0,0.0,-0.9579432010650635,0.28777703642845154,0.0,0.0,-0.9576950073242188,-0.01801731651358951
-99.93224851367556,215.9994589333955,0.0,7.878303059141601,0.2870003581047058,0.0,0.0,-0.9579300880432129,0.28772038221359253,0.0,0.0,-0.9577121138572693,-0.3798767773824509
-101.2721888350953,218.0384542031898,0.0,7.89439670211607,0.28705286979675293,0.0,0.0,-0.9579143524169922,0.28767064213752747,0.0,0.0,-0.9577271342277527,-0.018830126764825317
-102.61542470328956,220.08174331528988,0.0,7.910394063906579,0.2871137857437134,0.0,0.0,-0.9578961133956909,0.2876279056072235,0.0,0.0,-0.957740068435669,-0.3806847249476281
-103.96199688834783,222.12928503675238,0.0,7.926294208699704,0.2871827781200409,0.0,0.0,-0.9578754305839539,0.2875926196575165,0.0,0.0,-0.9577507376670837,-0.019633164380639778
-105.31194662548089,224.1810376814424,0.0,7.942096200682048,0.2872593402862549,0.0,0.0,-0.9578524231910706,0.2875647246837616,0.0,0.0,-0.9577592015266418,-0.3814828053507768
-106.66531561102154,226.23695911101416,0.0,7.957799104040198,0.28734293580055237,0.0,0.0,-0.9578273296356201,0.28754428029060364,0.0,0.0,-0.9577654004096985,-0.020426240307819088
-108.02214599825425,228.29700673594488,0.0,7.973401982960738,0.2874329686164856,0.0,0.0,-0.9578002691268921,0.2875317633152008,0.0,0.0,-0.9577692151069641,-0.3822708295386828
-109.38248039307258,230.3611375166227,0.0,7.988903901630268,0.2875288128852844,0.0,0.0,-0.9577714800834656,0.2875272035598755,0.0,0.0,-0.9577707052230835,-0.021209165493148885
-110.74636184946428,232.42930796448923,0.0,8.004303924235373,0.2876296043395996,0.0,0.0,-0.9577412009239197,0.2875307500362396,0.0,0.0,-0.9577697515487671,-0.38304860845813254
-112.11383386482183,234.5014741432365,0.0,8.019601114962645,0.2877344787120819,0.0,0.0,-0.9577096700668335,0.28754252195358276,0.0,0.0,-0.9577662348747253,-0.021981750883415196
-113.4849403750786,236.57759167005906,0.0,8.034794537998675,0.2878425419330597,0.0,0.0,-0.9576771259307861,0.2875625789165497,0.0,0.0,-0.9577602744102478,-0.3838159530559118
-114.85972574436907,238.65761571696126,0.0,8.049883257530052,0.28795281052589417,0.0,0.0,-0.9576439261436462,0.28759077191352844,0.0,0.0,-0.9577518701553345,-0.02274380742540394
-116.23820987832715,240.74150101211868,0.0,8.064866337737268,0.2880641222000122,0.0,0.0,-0.9576104283332825,0.2876262068748474,0.0,0.0,-0.9577412605285645,-0.38457267427849845
-117.6203301228446,242.82920161823148,0.0,8.07974197949456,0.288175493478775,0.0,0.0,-0.9575769305229187,0.2876681983470917,0.0,0.0,-0.9577286839485168,-0.023495102463651052
-119.00600525565694,244.92067009262632,0.0,8.094505127188324,0.2882860004901886,0.0,0.0,-0.9575436115264893,0.28771597146987915,0.0,0.0,-0.9577143788337708,-0.38531828779838545
-120.3951522648329,247.01585729064362,0.0,8.109149957495402,0.2883949279785156,0.0,0.0,-0.957510769367218,0.28776881098747253,0.0,0.0,-0.9576985239982605,-0.02423474035794798
-121.78768635151918,249.11471236762068,0.0,8.123670647092633,0.288501501083374,0.0,0.0,-0.9574786424636841,0.28782588243484497,0.0,0.0,-0.95768141746521,-0.38605165595986174
-123.18352093351022,251.2171827811003,0.0,8.138061372656857,0.2886050343513489,0.0,0.0,-0.9574474096298218,0.28788670897483826,0.0,0.0,-0.9576631188392639,-0.02496154467937345
-124.58256764965233,253.32321429326925,0.0,8.152316310864911,0.28870493173599243,0.0,0.0,-0.9574172496795654,0.28795039653778076,0.0,0.0,-0.957643985748291,-0.38677160233400587
-125.98473636509112,255.43275097362732,0.0,8.166429638393645,0.2888006567955017,0.0,0.0,-0.9573884010314941,0.28801673650741577,0.0,0.0,-0.957624077796936,-0.025674338999006452
-127.3899351773701,257.54573520188984,0.0,8.180395531919888,0.28889167308807373,0.0,0.0,-0.9573609232902527,0.28808483481407166,0.0,0.0,-0.9576036334037781,-0.38747695049189695
-128.79807042338936,259.66210767112614,0.0,8.194208168120488,0.2889775335788727,0.0,0.0,-0.9573350548744202,0.2881544530391693,0.0,0.0,-0.9575827121734619,-0.026371946887925657
-130.20904668723193,261.7818073911342,0.0,8.207861723672286,0.2890578806400299,0.0,0.0,-0.9573107957839966,0.28822481632232666,0.0,0.0,-0.9575614929199219,-0.388166524004614
-131.6227668088662,263.9047716920564,0.0,8.221350375252111,0.289132297039032,0.0,0.0,-0.957288384437561,0.2882956862449646,0.0,0.0,-0.9575401544570923,-0.027053191917209785
-133.03913189373182,266.03093622823513,0.0,8.234668299536814,0.28920048475265503,0.0,0.0,-0.9572678208351135,0.2883663475513458,0.0,0.0,-0.9575188755989075,-0.38883914644323536
-134.4580413232161,268.16023498231226,0.0,8.247809673203232,0.28926214575767517,0.0,0.0,-0.9572492241859436,0.28843623399734497,0.0,0.0,-0.9574978351593018,-0.027716897657937944
-135.87939276602884,270.2926002695726,0.0,8.260768672928203,0.28931689262390137,0.0,0.0,-0.9572327136993408,0.2885051965713501,0.0,0.0,-0.9574770331382751,-0.38949364137883996
-137.30308219048155,272.42796274253544,0.0,8.273539475388574,0.2893645167350769,0.0,0.0,-0.95721834897995,0.288572758436203,0.0,0.0,-0.9574567079544067,-0.028361887681189024
-138.72900387767822,274.56625139579234,0.0,8.286116257261174,0.28940480947494507,0.0,0.0,-0.9572061896324158,0.2886383533477783,0.0,0.0,-0.9574369192123413,-0.3901288323825066
-140.15705043562394,276.70739357109545,0.0,8.298493195222855,0.28943753242492676,0.0,0.0,-0.9571962952613831,0.2887018322944641,0.0,0.0,-0.9574177861213684,-0.028986985558041578
-141.58711281425616,278.851314962697,0.0,8.31066446595045,0.28946244716644287,0.0,0.0,-0.9571888446807861,0.28876280784606934,0.0,0.0,-0.9573994278907776,-0.3907435430253145
-143.0190803214059,280.9979396229397,0.0,8.322624246120803,0.28947940468788147,0.0,0.0,-0.9571837186813354,0.28882092237472534,0.0,0.0,-0.9573819041252136,-0.029591014859574494
-144.4528406396931,283.1471899681025,0.0,8.334366712410748,0.2894882559776306,0.0,0.0,-0.9571810960769653,0.2888759672641754,0.0,0.0,-0.9573653340339661,-0.39133659687834205
-145.8882798443608,285.298986784499,0.0,8.345886041497137,0.289488822221756,0.0,0.0,-0.957180917263031,0.28892746567726135,0.0,0.0,-0.9573498368263245,-0.030172799156866825
-147.32528242205345,287.45324923483247,0.0,8.3571764100568,0.28948095440864563,0.0,0.0,-0.9571833610534668,0.28897514939308167,0.0,0.0,-0.9573354721069336,-0.3919068175126685
-148.76373129054255,289.60989486480696,0.0,8.368231994766575,0.2894645929336548,0.0,0.0,-0.9571883082389832,0.289018452167511,0.0,0.0,-0.9573224782943726,-0.030731162020996905
-150.20350781940465,291.76883960999555,0.0,8.379046972303312,0.2894395887851715,0.0,0.0,-0.9571958780288696,0.2890574634075165,0.0,0.0,-0.9573107361793518,-0.39245302849937236
-151.64449185165316,293.9299978029665,0.0,8.389615519343845,0.28940582275390625,0.0,0.0,-0.9572060704231262,0.28909173607826233,0.0,0.0,-0.9573003649711609,-0.031264927023044065
-153.0865617263286,296.0932821806672,0.0,8.39993181256502,0.2893632650375366,0.0,0.0,-0.9572189450263977,0.289121150970459,0.0,0.0,-0.9572914838790894,-0.3929740534095327
-154.52959430204882,298.25860389206787,0.0,8.409990028643668,0.28931182622909546,0.0,0.0,-0.9572345018386841,0.2891455590724945,0.0,0.0,-0.957284152507782,-0.03177291773408686
-155.9734649815212,300.42587250606334,0.0,8.419784344256637,0.28925153613090515,0.0,0.0,-0.9572527408599854,0.28916454315185547,0.0,0.0,-0.9572784900665283,-0.39346871581422815
-157.4180477370187,302.5949960196341,0.0,8.429308936080764,0.2891823351383209,0.0,0.0,-0.9572736620903015,0.28917792439460754,0.0,0.0,-0.9572744369506836,-0.03225395772520434
-158.86321513682034,304.76588086626737,0.0,8.438557980792888,0.2891042232513428,0.0,0.0,-0.9572972059249878,0.28918543457984924,0.0,0.0,-0.9572722315788269,-0.39393583928453746
-160.30883837261712,306.9384319246358,0.0,8.447525655069853,0.28901731967926025,0.0,0.0,-0.9573233723640442,0.28918689489364624,0.0,0.0,-0.9572718143463135,-0.032706870567475343
-161.75478728788286,309.1125525275362,0.0,8.456206135588495,0.288921594619751,0.0,0.0,-0.9573522806167603,0.28918203711509705,0.0,0.0,-0.9572733044624329,-0.39437424739153953
-163.20093040721025,311.2881444710862,0.0,8.46459359902566,0.2888171076774597,0.0,0.0,-0.9573837518692017,0.2891709804534912,0.0,0.0,-0.9572767019271851,-0.03313047983197859
-164.64713496661,313.465108024178,0.0,8.472682222058179,0.288703978061676,0.0,0.0,-0.9574177861213684,0.28915324807167053,0.0,0.0,-0.9572820663452148,-0.39478276370631327
-166.09326694477252,315.6433419381904,0.0,8.4804661813629,0.2885822057723999,0.0,0.0,-0.9574544429779053,0.28912875056266785,0.0,0.0,-0.957289457321167,-0.03352360908979274
-167.53917741108552,317.8227228238058,0.0,8.487859281215865,0.2884518802165985,0.0,0.0,-0.9574937224388123,0.2890970706939697,0.0,0.0,-0.957298994064331,-0.3951561525877762
-168.98450546844776,320.00280768683024,0.0,8.493616010495828,0.28831300139427185,0.0,0.0,-0.9575355052947998,0.2890584468841553,0.0,0.0,-0.957310676574707,-0.03381435299282115
-170.42853159641712,322.18261113964843,0.0,8.49562005169997,0.288165807723999,0.0,0.0,-0.9575797915458679,0.289012610912323,0.0,0.0,-0.9573245048522949,-0.39525736679000556
-171.87017640390502,324.3606010408239,0.0,8.491733902045821,0.2880103290081024,0.0,0.0,-0.957626461982727,0.28895941376686096,0.0,0.0,-0.9573405981063843,-0.033618082808268224
-173.30800328907998,326.5346996545769,0.0,8.479820058750906,0.2878468334674835,0.0,0.0,-0.9576755166053772,0.2888987362384796,0.0,0.0,-0.9573588967323303,-0.3946556575326866
-174.74022137857483,328.7022848819249,0.0,8.45774101903276,0.2876753807067871,0.0,0.0,-0.9577269554138184,0.288830429315567,0.0,0.0,-0.9573794603347778,-0.03250297979220024
-176.1646887241477,330.86019155467216,0.0,8.42335928010891,0.28749626874923706,0.0,0.0,-0.9577805995941162,0.28875452280044556,0.0,0.0,-0.9574023485183716,-0.3929192060718861
-177.57891572508225,333.0047127800044,0.0,8.374537339196886,0.28730979561805725,0.0,0.0,-0.9578364491462708,0.28867074847221375,0.0,0.0,-0.9574276208877563,-0.03003722520068386
-178.98007017136774,335.1316035037262,0.0,8.309146227977402,0.2871163785457611,0.0,0.0,-0.9578943848609924,0.28857946395874023,0.0,0.0,-0.957455039024353,-0.38961662469716474
-180.36523735451723,337.2364717155484,0.0,8.22658084555958,0.2869165539741516,0.0,0.0,-0.9579541683197021,0.2884805500507355,0.0,0.0,-0.9574847221374512,-0.025867256391702897
-181.73197110136343,339.31561498167224,0.0,8.129505532983751,0.2867109179496765,0.0,0.0,-0.9580156207084656,0.2883741855621338,0.0,0.0,-0.9575166702270508,-0.38471383113272895
-183.07836204805074,341.36612720333244,0.0,8.021007463935954,0.2865000069141388,0.0,0.0,-0.9580786228179932,0.2882601022720337,0.0,0.0,-0.9575509428977966,-0.02038755593474345
-184.40303407153579,343.38589698538397,0.0,7.9041738121022345,0.2862846553325653,0.0,0.0,-0.958142876625061,0.2881387770175934,0.0,0.0,-0.9575873613357544,-0.37881314164617746
-185.7051403993758,345.37360593828976,0.0,7.782091751168635,0.28606560826301575,0.0,0.0,-0.9582082033157349,0.28801053762435913,0.0,0.0,-0.9576258063316345,-0.01422179528153139
-186.9843586814905,347.32872574304884,0.0,7.65784378584406,0.28584372997283936,0.0,0.0,-0.9582743048667908,0.28787484765052795,0.0,0.0,-0.9576664566993713,-0.37253799188231
-188.2407530668989,349.2513118485024,0.0,7.533710769227287,0.285619854927063,0.0,0.0,-0.9583409428596497,0.28773224353790283,0.0,0.0,-0.9577091336250305,-0.007952451007956995
-189.4744873773023,351.1415675717062,0.0,7.410269570472135,0.28539490699768066,0.0,0.0,-0.9584078788757324,0.28758299350738525,0.0,0.0,-0.9577537775039673,-0.3663035879047771
