X,Y,Z,Speed,RotW,RotX,RotY,RotZ,HarsherRotW,HarsherRotX,HarsherRotY,HarsherRotZ,TireRot
-46.163702353423815,134.71676926998012,0.0,6.892595608532064,0.29790884256362915,0.0,0.0,-0.9545943140983582,0.30251389741897583,0.0,0.0,-0.9531449675559998,-0.34811088931980116
-47.38096438451931,136.43912867857296,0.0,6.892595608532064,0.2978357672691345,0.0,0.0,-0.9546170830726624,0.3024730086326599,0.0,0.0,-0.953157901763916,-0.0
-48.602952048957135,138.1745113836103,0.0,6.934004522812377,0.2976982295513153,0.0,0.0,-0.9546598792076111,0.3023938834667206,0.0,0.0,-0.9531829357147217,-0.3502022486268877
-49.82879841356667,139.92167155751585,0.0,6.970459968699946,0.2975040078163147,0.0,0.0,-0.9547201991081238,0.30227911472320557,0.0,0.0,-0.9532191753387451,-0.0018411841357358072
-51.057742031956586,141.67949319776372,0.0,7.0025143155725695,0.2972601652145386,0.0,0.0,-0.9547958374023438,0.3021310269832611,0.0,0.0,-0.953265905380249,-0.351821155034596
-52.289125716978226,143.44699139577185,0.0,7.030719932808052,0.2969731092453003,0.0,0.0,-0.9548847675323486,0.3019520044326782,0.0,0.0,-0.9533222913742065,-0.0032657102587398956
-53.52239534204455,145.22331357607015,0.0,7.055629189784181,0.2966485917568207,0.0,0.0,-0.9549852013587952,0.301744282245636,0.0,0.0,-0.9533876180648804,-0.3530791983162187
-54.7570986779795,147.00774069884886,0.0,7.077794455878768,0.29629191756248474,0.0,0.0,-0.9550953507423401,0.3015100359916687,0.0,0.0,-0.9534611701965332,-0.0043851681423049405
-55.992884270985094,148.79968842011226,0.0,7.0977681004696045,0.29590779542922974,0.0,0.0,-0.9552139043807983,0.3012513816356659,0.0,0.0,-0.9535422921180725,-0.3540879682450488
-57.22950036631512,150.59870820469564,0.0,7.116102492934488,0.2955005466938019,0.0,0.0,-0.9553393721580505,0.3009701669216156,0.0,0.0,-0.9536303877830505,-0.005311147559723284
-58.46679388133926,152.40448838833947,0.0,7.1333500026512215,0.2950740158557892,0.0,0.0,-0.9554705619812012,0.3006684482097626,0.0,0.0,-0.95372474193573,-0.3549590545943788
-59.704709430871354,154.21685518585144,0.0,7.150062998997601,0.2946317791938782,0.0,0.0,-0.9556064009666443,0.30034783482551575,0.0,0.0,-0.9538248777389526,-0.006155238284287878
-60.94328840692233,156.03577364312397,0.0,7.166793851351427,0.29417696595191956,0.0,0.0,-0.9557458758354187,0.3000101149082184,0.0,0.0,-0.953930139541626,-0.3558040471375013
-62.18266799697783,157.86134835815727,0.0,7.184094247714253,0.29371240735054016,0.0,0.0,-0.9558880925178528,0.29965677857398987,0.0,0.0,-0.9540401101112366,-0.007028995676349847
-63.42305000935726,159.69377938694842,0.0,7.202339390432718,0.2932406961917877,0.0,0.0,-0.9560323357582092,0.2992895841598511,0.0,0.0,-0.9541542530059814,-0.35672551899196925
-64.66462980965008,161.53325805629342,0.0,7.221493686812634,0.29276421666145325,0.0,0.0,-0.956177830696106,0.29890987277030945,0.0,0.0,-0.9542720913887024,-0.007996384382406185
