X,Y,Z,Speed
336.58234750165064,83.27412915521856,0.0,17.876690423643716
336.7750822241136,81.88696288684714,0.0,17.876690423643716
336.96074530163105,80.50045778241926,0.0,17.879226962918928
337.1394111846539,79.1145611495048,0.0,17.882207667242103
337.31115354963885,77.7292215807333,0.0,17.88561677820507
337.4760453471174,76.34438894569375,0.0,17.88943853739964
337.6341588487956,74.96001438307798,0.0,17.893657186417638
337.7855656936916,73.57605029306791,0.0,17.898256966850884
337.9303369333169,72.19245032996466,0.0,17.903222120291215
338.06854307590714,70.8091693950593,0.0,17.908536888330435
338.2002541297052,69.42616362974488,0.0,17.914185512560387
338.32553964530115,68.04339040886903,0.0,17.92015223457286
338.4444687570349,66.6608083343267,0.0,17.92642129595971
338.55711022346077,65.27837722889309,0.0,17.93297693831275
338.66353246687913,63.896058130296474,0.0,17.93980340322379
338.7638036119368,62.51381328553078,0.0,17.94688493228467
338.85799152329696,61.13160614540811,0.0,17.95420576708721
338.94616384237895,59.74940135935129,0.0,17.96175014922322
339.0283880231727,58.36716477042672,0.0,17.96950232028453
339.10473136712267,56.98486341061763,0.0,17.977446521862962
339.1752610570849,55.602465496338056,0.0,17.985566995550347
339.2400441903558,54.219940424188565,0.0,17.993847982938494
339.29914781077173,52.83725876695321,0.0,18.002273725619226
339.3526389398779,51.454392269839175,0.0,18.010828465184375
339.40058460716693,50.071313846959235,0.0,18.01949644322576
339.44305187938204,48.68799757805767,0.0,18.0282619013352
339.4801078888871,47.30441870548057,0.0,18.03710908110453
339.5118198610976,45.92055363139109,0.0,18.04602222412555
339.53825514097264,44.53637991523038,0.0,18.054985571990105
339.559481218563,43.15187627142512,0.0,18.06398336629
339.5755657536151,41.76702256734251,0.0,18.07299984861707
339.5865765992246,40.38179982149329,0.0,18.082019260563136
339.5925818245391,38.99619020198397,0.0,18.091025843720015
339.59364973650537,37.610177025219116,0.0,18.100003839679527
339.58984890065693,36.223744754854195,0.0,18.1089374900335
339.581248160939,34.836879001000455,0.0,18.11781103637376
339.5679166585686,33.44956651968218,0.0,18.126608720292126
339.5499238499221,32.061795212547715,0.0,18.135314783380426
339.5273395234497,30.67355412683458,0.0,18.143913467230462
339.5002338156126,29.28483345559001,0.0,18.152389013434078
339.4686772258364,27.895624538147484,0.0,18.16072566358309
339.43274063047994,26.50591986086019,0.0,18.168907659269323
339.3924952958128,25.115713058091984,0.0,18.176919242084594
339.3480128900007,23.724998913467065,0.0,18.184744653620733
339.29936549408995,22.333773361378466,0.0,18.19236813546955
339.24662561199403,20.942033488756465,0.0,18.19977392922288
339.18986617947206,19.54977753709745,0.0,18.206946276472543
339.1291605720988,18.157004904753656,0.0,18.21386941881035
339.064582612223,16.763716149484466,0.0,18.220527597828145
338.996206574909,15.369912991269581,0.0,18.226905055117733
338.9241071928597,13.975598315384529,0.0,18.23298603227094
338.84835966031716,12.580776175738814,0.0,18.23875477087959
338.7690396359382,11.185451798476862,0.0,18.244195512535512
338.68622324464314,9.789631585842011,0.0,18.249292498830517
338.59998707843425,8.393323120303535,0.0,18.254029971356438
338.5104081961814,6.99653516894676,0.0,18.25839217170509
338.4175641223757,5.599277688125985,0.0,18.262363341468298
338.3215328448461,4.201561828380244,0.0,18.265927722237887
338.22239281143993,2.8033999396113636,0.0,18.26906955560568
338.1202229256663,1.404805576523895,0.0,18.271773083163488
338.01510254130073,0.0057935043265811,0.0,18.274022546503147
337.9071114559522,-1.3936202953056451,0.0,18.275802187216474
337.79632990359113,-2.793418618009543,0.0,18.277096246895297
337.68283854604067,-4.193583030252631,0.0,18.277888967131435
337.56671846343176,-5.594093862594157,0.0,18.2781645895167
337.4480511436212,-6.99493020268944,0.0,18.277907355642927
337.32691847057924,-8.396069888038642,0.0,18.27710150710194
337.2034027117438,-9.797489498481774,0.0,18.275731285485552
337.07758650434874,-11.199164348441212,0.0,18.2737809323856
336.94955284072637,-12.601068478913811,0.0,18.271234689393886
336.81938505258944,-14.00317464921444,0.0,18.268076798102246
336.6871667942971,-15.405454222688443,0.0,18.264291500102498
336.5529819636241,-16.807869040807887,0.0,18.259871343730612
336.4169141473206,-18.210370319778878,0.0,18.254879685486497
336.27904629018195,-19.61291530579339,0.0,18.249415717934724
336.13946062164206,-21.015468856544352,0.0,18.24357891172025
