X,Y,Z,Speed
336.7388196072822,81.69780903641578,0.0,18.02287359715789
336.82340418480715,80.21333551355718,0.0,18.02287359715789
336.9087082689888,78.73574195889734,0.0,18.02876359947501
336.99461305717324,77.26483153215047,0.0,18.034960648117963
337.08099947521674,75.80040854872767,0.0,18.04145199013612
337.16774815573643,74.34227842546144,0.0,18.04822487257883
337.2547394176047,72.89024762816112,0.0,18.05526654249546
337.3418532466829,71.4441236209974,0.0,18.062564246935363
337.4289692778032,70.00371481771676,0.0,18.07010523294792
337.51596677799307,68.56883053468535,0.0,18.07787674758247
337.6027246309504,67.13928094576382,0.0,18.085866037888394
337.68912132276716,65.71487703901461,0.0,18.094060350915033
337.7750349289081,64.29543057524369,0.0,18.10244693371176
337.8603431024442,62.880754048379586,0.0,18.11101303332794
337.94492306354675,61.470660647692725,0.0,18.119745896812933
338.02865159024424,60.06496422185889,0.0,18.128632771216086
338.11140501044565,58.663479244870636,0.0,18.137660903586788
338.1930591952344,57.26602078380145,0.0,18.146817540974368
338.27348955343814,55.872404468427064,0.0,18.15608993042821
338.35257102747636,54.4824464627097,0.0,18.165465318997665
338.4301780904925,53.095963438150356,0.0,18.174930953732105
338.50618474477386,51.7127725490152,0.0,18.184474081680882
338.58046452146397,50.33269140944215,0.0,18.19408194989336
338.65289048157274,48.95553807243402,0.0,18.203741805418893
338.72333521828944,47.58113101074476,0.0,18.213440895306853
338.79167086060215,46.20928909966582,0.0,18.223166466606607
338.85776907823,44.839831601719034,0.0,18.2329057663675
338.9215010878718,43.47257815326385,0.0,18.2426460416389
338.98273766077807,42.1073487530254,0.0,18.252374539470164
339.04134913164796,40.74396375255099,0.0,18.26207850691067
339.0972054088602,39.382243848602414,0.0,18.27174519100976
339.1501759860386,38.022010077491,0.0,18.281361838816803
339.2001299549608,36.663083811363286,0.0,18.290915697381173
339.2469360198114,35.305286756443955,0.0,18.3003940137522
339.2904625127859,33.94844095324368,0.0,18.309784034979273
339.33057741105017,32.592368778738916,0.0,18.31907300811175
339.3671483550583,31.236892950530375,0.0,18.328248180198983
339.4000426682329,29.881836532987368,0.0,18.33729679829034
339.42912737801356,28.52702294538435,0.0,18.346206109435176
339.45426923827415,27.172275972036175,0.0,18.35496336068286
339.4753347531158,25.817419774438576,0.0,18.363555799082746
339.49219020203424,24.462278905419033,0.0,18.3719706716842
339.5047016664695,23.10667832530459,0.0,18.38019522553658
339.5127350577355,21.75044342011102,0.0,18.388216707689253
339.51615614633596,20.3934000217591,0.0,18.396022365191573
339.51483059266525,19.035374430321607,0.0,18.403599445092908
339.5086239790976,17.676193438306115,0.0,18.410935194442622
339.49740184346507,16.315684356976398,0.0,18.418016860290066
339.48102971392575,14.953675044716444,0.0,18.42483168968461
339.4593731452209,13.589993937438924,0.0,18.43136692967561
339.4322977563232,12.224470081041023,0.0,18.437609827312432
339.3996692694729,10.856933165908705,0.0,18.443547629644435
339.36135355060367,9.487213563470641,0.0,18.44916758372098
339.3172166511541,8.115142364802134,0.0,18.454456936591427
339.2671248512643,6.7405514212786155,0.0,18.459402935305135
339.2109447043541,5.363273387277918,0.0,18.463992826911475
339.1485430830811,3.9831417649295293,0.0,18.4682138584598
339.0797872266721,2.5999909509083583,0.0,18.472053276999475
339.0045447896274,1.2136562852699697,0.0,18.47549832957986
338.9226838917891,-0.1760258976769542,0.0,18.47853626325032
338.83407316977133,-1.5692182164655861,0.0,18.481154325060213
338.7385818297422,-2.966082187539053,0.0,18.483339762058893
338.63607970155573,-4.366778168298463,0.0,18.485079821295738
338.5264372942208,-5.771465298138061,0.0,18.4863617498201
338.4095258527025,-7.180301437476233,0.0,18.487172794681335
338.285217416045,-8.593443104791625,0.0,18.487500202928814
