X,Y,Z,Speed,RotW,RotX,RotY,RotZ,HarsherRotW,HarsherRotX,HarsherRotY,HarsherRotZ,TireRot
-148.4431098589385,-11.366470805902646,0.0,7.945008658073263,0.4263092875480652,0.0,0.0,-0.9045774936676025,0.42615818977355957,0.0,0.0,-0.9046486616134644,-0.40126306353905367
-150.33523036980324,-9.803780773997586,0.0,7.945008658073263,0.4263118505477905,0.0,0.0,-0.9045762419700623,0.4261593222618103,0.0,0.0,-0.9046481251716614,-0.0
-152.23204846106793,-8.237373033506309,0.0,7.96544188087594,0.4263167679309845,0.0,0.0,-0.904573917388916,0.42616158723831177,0.0,0.0,-0.9046470522880554,-0.4022950444886838
-154.13348379363097,-6.667317810217671,0.0,7.985526201437753,0.42632389068603516,0.0,0.0,-0.9045705199241638,0.4261649549007416,0.0,0.0,-0.9046454429626465,-0.0010143596243339936
-156.0394572319848,-5.093684350394257,0.0,8.00526631094373,0.4263330101966858,0.0,0.0,-0.9045661687850952,0.42616933584213257,0.0,0.0,-0.9046433568000793,-0.40329201971625844
-157.9498908425438,-3.516540921568212,0.0,8.024666900578886,0.42634397745132446,0.0,0.0,-0.904560923576355,0.42617467045783997,0.0,0.0,-0.9046408534049988,-0.0019941873836852864
-159.86470789197557,-1.9359548133472078,0.0,8.043732661528233,0.4263566732406616,0.0,0.0,-0.9045549035072327,0.4261811375617981,0.0,0.0,-0.9046378135681152,-0.40425493693592246
-161.78383284553993,-0.35199233823036824,0.0,8.062468284976806,0.4263709485530853,0.0,0.0,-0.904548168182373,0.426188588142395,0.0,0.0,-0.9046342968940735,-0.002940430992199039
-163.7071913654329,1.2352811675665547,0.0,8.080878462109617,0.42638665437698364,0.0,0.0,-0.9045407772064209,0.42619696259498596,0.0,0.0,-0.9046303629875183,-0.40518474386182196
-165.6347103091392,2.825801343277002,0.0,8.098967884111678,0.4264037311077118,0.0,0.0,-0.9045327305793762,0.42620620131492615,0.0,0.0,-0.9046260118484497,-0.003854038164020357
-167.56631772779357,4.419504802740909,0.0,8.11674124216802,0.4264220893383026,0.0,0.0,-0.9045240879058838,0.42621636390686035,0.0,0.0,-0.9046212434768677,-0.4060823882081019
