X,Y,Z,Speed,RotW,RotX,RotY,RotZ,HarsherRotW,HarsherRotX,HarsherRotY,HarsherRotZ,TireRot
-148.44310924761317,-11.366469165663036,0.0,8.039116112332108,0.432205468416214,0.0,0.0,-0.9017751812934875,0.43403270840644836,0.0,0.0,-0.9008970856666565,-0.40601596526929834
-150.3744730512524,-9.828068869106021,0.0,8.039116112332108,0.43217602372169495,0.0,0.0,-0.9017892479896545,0.4340166747570038,0.0,0.0,-0.9009048342704773,-0.0
-152.30837798989756,-8.285357502414582,0.0,8.054361312618438,0.43212053179740906,0.0,0.0,-0.9018157720565796,0.4339853823184967,0.0,0.0,-0.9009199142456055,-0.40678592487971904
-154.24479784815574,-6.738380826224252,0.0,8.069444993122136,0.43204212188720703,0.0,0.0,-0.9018533229827881,0.43393993377685547,0.0,0.0,-0.9009417295455933,-0.0007618020456413577
-156.1837070002743,-5.187184711275514,0.0,8.084368406707757,0.4319435954093933,0.0,0.0,-0.9019004702568054,0.4338812530040741,0.0,0.0,-0.900969922542572,-0.40753963263656856
-158.12508040691193,-3.631815134516882,0.0,8.099132806239854,0.4318274259567261,0.0,0.0,-0.9019560217857361,0.4338102340698242,0.0,0.0,-0.9010040163993835,-0.001507478789686656
-160.0688936119047,-2.072318175202008,0.0,8.113739444582983,0.4316959083080292,0.0,0.0,-0.9020189046859741,0.43372777104377747,0.0,0.0,-0.9010436534881592,-0.4082773416437973
-162.01512273902813,-0.508740010982233,0.0,8.128189574601691,0.43155112862586975,0.0,0.0,-0.9020880460739136,0.43363460898399353,0.0,0.0,-0.9010884165763855,-0.0022372833360860267
-163.96374448875784,1.0588730860041724,0.0,8.142484449160534,0.43139487504959106,0.0,0.0,-0.9021626114845276,0.43353164196014404,0.0,0.0,-0.9011378288269043,-0.4089993050053551
-165.91473613502797,2.630474753044874,0.0,8.15662532112406,0.4312288463115692,0.0,0.0,-0.9022418260574341,0.4334195852279663,0.0,0.0,-0.9011915922164917,-0.00295146878878938
-167.86807552198968,4.20601854076708,0.0,8.170613443356833,0.43105456233024597,0.0,0.0,-0.9023249745368958,0.43329909443855286,0.0,0.0,-0.9012494087219238,-0.40970577582519213
-169.82374106076995,5.785457917050817,0.0,8.184450068723393,0.4308733344078064,0.0,0.0,-0.9024114012718201,0.43317076563835144,0.0,0.0,-0.901310920715332,-0.0036502882517469026
-171.78171172623246,7.3687462709404645,0.0,8.198136450088299,0.4306863844394684,0.0,0.0,-0.9025005102157593,0.43303537368774414,0.0,0.0,-0.9013757705688477,-0.4103970072072581
-173.7419670537407,8.95583691655354,0.0,8.211673840316104,0.4304948151111603,0.0,0.0,-0.9025917649269104,0.4328935146331787,0.0,0.0,-0.9014437198638916,-0.004333994828908727
