X,Y,Z,Speed,RotW,RotX,RotY,RotZ,HarsherRotW,HarsherRotX,HarsherRotY,HarsherRotZ,TireRot
-148.4431105127153,-11.366469819811812,0.0,8.149758067115359,0.42697039246559143,0.0,0.0,-0.9042655229568481,0.42682498693466187,0.0,0.0,-0.9043341875076294,-0.41160394278360396
-150.36908602941233,-9.780592397455003,0.0,8.149758067115359,0.42697277665138245,0.0,0.0,-0.9042643904685974,0.42682626843452454,0.0,0.0,-0.9043335318565369,-0.0
-152.29979187172424,-8.190993286215024,0.0,8.1667755912777,0.4269773066043854,0.0,0.0,-0.9042622447013855,0.42682868242263794,0.0,0.0,-0.9043323993682861,-0.4124634137008939
-154.23517403682305,-6.597717558653416,0.0,8.183587673611152,0.4269838035106659,0.0,0.0,-0.9042591452598572,0.4268321096897125,0.0,0.0,-0.9043307900428772,-0.0008490950673460951
-156.1751787352991,-5.0008100907202735,0.0,8.200195989509012,0.4269919991493225,0.0,0.0,-0.9042552709579468,0.4268365502357483,0.0,0.0,-0.9043287038803101,-0.41330221753411917
-158.1197523933606,-3.400315560119544,0.0,8.216602214364572,0.4270017445087433,0.0,0.0,-0.9042506217956543,0.4268420934677124,0.0,0.0,-0.9043260812759399,-0.0016776922822733797
-160.06884165504098,-1.796278444670854,0.0,8.232808023571128,0.42701292037963867,0.0,0.0,-0.9042453765869141,0.426848441362381,0.0,0.0,-0.9043231010437012,-0.41412069274657143
-162.02239338441106,-0.18874302066838788,0.0,8.24881509252197,0.42702531814575195,0.0,0.0,-0.9042395353317261,0.4268556833267212,0.0,0.0,-0.904319703578949,-0.00248613010807347
-163.98035466779768,1.4222466387624189,0.0,8.264625096610391,0.42703884840011597,0.0,0.0,-0.9042330980300903,0.42686381936073303,0.0,0.0,-0.9043158292770386,-0.41491917780154225
-165.94267281600534,3.0366466653098634,0.0,8.280239711229688,0.42705342173576355,0.0,0.0,-0.9042261838912964,0.4268728196620941,0.0,0.0,-0.9043115973472595,-0.0032747470080379815
-167.90929536654187,4.65441339712191,0.0,8.295660611773151,0.42706888914108276,0.0,0.0,-0.9042189121246338,0.42688244581222534,0.0,0.0,-0.9043070077896118,-0.4156980111623232
-169.88017008584632,6.27550338045248,0.0,8.310889473634075,0.42708516120910645,0.0,0.0,-0.9042112231254578,0.4268927574157715,0.0,0.0,-0.9043021202087402,-0.004043881445458364
-171.85524497151894,7.89987337130754,0.0,8.325927972205754,0.4271022081375122,0.0,0.0,-0.9042031764984131,0.4269038736820221,0.0,0.0,-0.904296875,-0.416457531292206
-173.83446825455164,9.52748033709031,0.0,8.34077778288148,0.4271198511123657,0.0,0.0,-0.9041947722434998,0.42691558599472046,0.0,0.0,-0.9042913913726807,-0.004793871883626288
