inner_X,inner_Y,inner_Z,outer_X,outer_Y,outer_Z,inner_curb_X,inner_curb_Y,inner_curb_Z,outer_curb_X,outer_curb_Y,outer_curb_Z
331.403860861831,82.26248171270652,13.0,343.3760715029732,83.56561425750795,13.0,329.4222909116127,81.99159329953258,13.0,345.3594470861657,83.82294924540503,13.0
331.7007817633238,80.0904820723525,12.96,343.6625999397778,81.3572340053993,12.96,329.71760693544826,79.8316044910888,12.96,345.64737280712745,81.60356034388673,12.96
331.9841059750233,77.92002976038593,12.920000000000002,343.93648560004544,79.15040208237647,12.920000000000002,329.99941309216734,77.67305980119848,12.920000000000002,345.9225839478145,79.38580249229352,12.920000000000002
332.25400334881505,75.75108824770813,12.880000000000003,344.1978691249621,76.94508142403977,12.880000000000003,330.26787753221805,75.51591971102253,12.880000000000003,346.18522239326325,77.16964096396805,12.880000000000003
332.5106437365842,73.58362100522038,12.840000000000003,344.4468911557133,74.74123496598945,12.840000000000003,330.5231683588352,73.36014478088859,12.840000000000003,346.435430063791,74.95504097867648,12.840000000000003
332.75419699021575,71.41759150382393,12.8,344.68369233348443,72.53882564382573,12.8,330.76545363126905,71.20569565146839,12.8,346.6733489129816,72.74196770166607,12.8
332.9848329615957,69.25296321442013,12.8,344.9084132994619,70.33781639314904,12.8,330.9949013680237,69.05253304477517,12.8,346.8991209256579,70.5303862428276,12.8
333.20272150260894,67.0896996079103,12.8,345.1211946948311,68.13817014955958,12.8,331.2116795500948,66.90061776497247,12.8,347.11288811584075,68.32026165597019,12.8
333.40803246514076,64.92776415519569,12.8,345.32217716077776,65.93984984865766,12.8,331.41595612420326,64.74991069901053,12.8,347.3147925247076,66.11155893819766,12.8
333.60093570107665,62.767120327177594,12.8,345.5115013384875,63.742818426043556,12.8,331.6078990060109,62.600372817086956,12.8,347.5049762185484,63.904243029391814,12.8
333.7816010623017,60.60773159475729,12.8,345.68930786914615,61.54703881731757,12.8,331.7876760833135,60.45196517293642,12.8,347.6835812867271,61.6982788117969,12.8
333.9501984007014,58.44956142883611,12.8,345.8557373939393,59.35247395807996,12.8,331.95545521920326,58.304648903957876,12.8,347.8507498396511,59.49363110970584,12.8
334.10689756816095,56.292573300315354,12.8,346.0109305540527,57.159086783931016,12.8,332.11140425519255,56.158385231179786,12.8,348.00662400675475,57.290264689244104,12.8
334.25186841656586,54.136730680096285,12.8,346.15502799067224,54.96684023047105,12.8,332.2556910142941,54.01313545907433,12.8,348.15134593449903,55.08814425824913,12.8
